similarity,combination
5,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'Token677.sol']
23,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'linkStandardToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'Token677.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
26,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol', 'Token677.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol', 'Token677.sol']
23,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'Token677.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
29,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol', 'Token677.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol', 'Token677.sol']
23,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
22,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'Token677.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
26,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
18,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'Token677.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol', 'Token677.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol', 'Token677.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'Token677.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
18,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'Token677.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'Token677.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
22,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'Token677.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'LinkToken.sol', 'linkStandardToken.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'LinkToken.sol', 'Token677.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'linkStandardToken.sol', 'Token677.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'Token677.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'linkStandardToken.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'Token677.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol', 'Token677.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol', 'Token677.sol']
22,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'Token677.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
23,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol', 'Token677.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol', 'Token677.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
18,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'Token677.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
23,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'Token677.sol']
22,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'linkStandardToken.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'Token677.sol']
18,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol', 'Token677.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol', 'Token677.sol']
22,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'Token677.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
22,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol', 'Token677.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol', 'Token677.sol']
22,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'LinkToken.sol', 'linkStandardToken.sol', 'Token677.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
19,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'linkBasicToken.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
23,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'linkStandardToken.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol', 'Migrations.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
